index,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,full_address,lat,lng
9,1105812,NEW YORK,OP,252,893984,ZOUK LTD,PALMA,28 1/2 CORNELIA STREET,,NEW YORK,NY,10014,08/07/2018,08/31/2020,RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,,,POINT(-74.001429 40.73155),"28 1/2 CORNELIA STREET, NEW YORK, NY 10014",40.73155,-74.001429
16,1026076,NEW YORK,OP,252,897820,M ARAI INC,,137 E 45TH STREET,,NEW YORK,NY,10017,10/03/2018,09/30/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,,POINT(-73.973974 40.753342),"137 E 45TH STREET, NEW YORK, NY 10017",40.753342,-73.973974
27,1292644,NEW YORK,OP,252,899162,CARIB INC,HAVANA NY,58 W 38TH ST,,NEW YORK,NY,10018,11/01/2018,10/31/2020,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,Recorded music,POINT(-73.985244 40.751788),"58 W 38TH ST, NEW YORK, NY 10018",40.751788,-73.985244
34,1172693,NEW YORK,TW,344,912673,JAPAN SOCIETY INC,,333 E 47TH STREET,1ST & 2ND AVENUES,NEW YORK,NY,10017,01/16/2019,01/31/2021,"TAVERN SERVING BEER, WINE, & CIDER",,,POINT(-73.968246 40.752557),"333 E 47TH STREET, NEW YORK, NY 10017",40.752557,-73.968246
36,1022934,NEW YORK,EB,141,896718,THAI SON RESTAURANT INC,,89 BAXTER STREET,,NEW YORK,NY,10013,02/09/2018,02/28/2021,DELI SELLING AND SERVING BEER AND CIDER,,,POINT(-73.999453 40.716759),"89 BAXTER STREET, NEW YORK, NY 10013",40.716759,-73.999453
37,1028367,NEW YORK,RL,241,902291,CAFE RETAMAR INC,CAFE RIAZOR,245 W 16TH STREET,,NEW YORK,NY,10011,02/21/2019,02/28/2021,RESTAURANT TAVERN SERVING BEER WINE CIDER AND LIQUOR,,,POINT(-74.000418 40.74081),"245 W 16TH STREET, NEW YORK, NY 10011",40.74081,-74.000418
40,1282216,NEW YORK,L,222,898837,ST NIC'S VINOTECA INC,,1581 ST NICHOLAS AVE,STORE #1,NEW YORK,NY,10040,03/30/2018,02/28/2021,LIQUOR STORE SELLING WINE AND LIQUOR,,,POINT(-73.930247 40.854691),"1581 ST NICHOLAS AVE, NEW YORK, NY 10040",40.854691,-73.930247
41,1302013,NEW YORK,W,322,882636,KSS WINE LLC,PARCELLE WINE,509 W 38TH ST ,509-511 W38TH ST,NEW YORK,NY,10018,03/15/2018,02/28/2021,WINE STORE SELLING WINE ONLY,,,POINT(-73.997991 40.757643),"509 W 38TH ST , NEW YORK, NY 10018",40.757643,-73.997991
46,1023882,NEW YORK,LL,203,898760,DREYFUS ASHBY INC,,630 3RD AVE 15TH FLOOR,,NEW YORK,NY,10017,03/28/2018,03/31/2021,WHOLESALE LIQUOR,,,POINT(-73.975401 40.750009),"630 3RD AVE 15TH FLOOR, NEW YORK, NY 10017",40.750009,-73.975401
47,1136097,NEW YORK,RW,341,839166,1262 AMSTERDAM CAFE INC,,1262 AMSTERDAM AVE,123RD & 12TH STREETS,NEW YORK,NY,10027,03/07/2019,03/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,POINT(-73.958502 40.81092),"1262 AMSTERDAM AVE, NEW YORK, NY 10027",40.81092,-73.958502
48,1185225,NEW YORK,OP,252,904541,FAT ANNIE S LLC ,FEILE,131 W 33RD STREET,,NEW YORK,NY,10001,03/29/2019,03/31/2021,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,,,POINT(-73.989676 40.749958),"131 W 33RD STREET, NEW YORK, NY 10001",40.749958,-73.989676
57,1298613,NEW YORK,RW,341,839950,462 BKCS LTD,BREAD & BUTTER,462 7TH AVE ,,NEW YORK,NY,10018,05/20/2019,05/31/2021,RESTAURANT SERVING BEER WINE & CIDER,,,POINT(-73.990328 40.751964),"462 7TH AVE , NEW YORK, NY 10018",40.751964,-73.990328
60,1303401,NEW YORK,L,222,900233,939 FIRST AVE LIQUORS INC,FINE WINES ON FIRST,945 1ST AVE,,NEW YORK,NY,10022,05/22/2018,06/30/2021,LIQUOR STORE SELLING LIQUOR & WINE,,,POINT(-73.965431 40.755337),"945 1ST AVE, NEW YORK, NY 10022",40.755337,-73.965431
62,1028865,NEW YORK,RW,341,840327,RAJ MAHAL REST INC,,322 E 6TH STREET,,NEW YORK,NY,10003,06/28/2019,07/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,POINT(-73.987496 40.726782),"322 E 6TH STREET, NEW YORK, NY 10003",40.726782,-73.987496
65,1220827,NEW YORK,L,222,902738,GRACE WINE & SPIRITS INC,,610 10TH AVENUE,,NEW YORK,NY,10036,07/05/2018,07/31/2021,LIQUOR STORE,"M-SA 8AM - 12AM, SU 12PM - 9PM",,POINT(-73.99435 40.76061),"610 10TH AVENUE, NEW YORK, NY 10036",40.76061,-73.99435
